,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-10-26,149.3300018310547,150.83999633789062,149.00999450683594,149.32000732421875,147.6122283935547,60893400
1,2021-10-27,149.36000061035156,149.72999572753906,148.49000549316406,148.85000610351562,147.1476287841797,56094900
2,2021-10-28,149.82000732421875,153.1699981689453,149.72000122070312,152.57000732421875,150.82508850097656,100077900
3,2021-10-29,147.22000122070312,149.94000244140625,146.41000366210938,149.8000030517578,148.08676147460938,124953200
4,2021-11-01,148.99000549316406,149.6999969482422,147.8000030517578,148.9600067138672,147.25637817382812,74588300
5,2021-11-02,148.66000366210938,151.57000732421875,148.64999389648438,150.02000427246094,148.3042449951172,69122000
6,2021-11-03,150.38999938964844,151.97000122070312,149.82000732421875,151.49000549316406,149.7574462890625,54511500
7,2021-11-04,151.5800018310547,152.42999267578125,150.63999938964844,150.9600067138672,149.23348999023438,60394600
8,2021-11-05,151.88999938964844,152.1999969482422,150.05999755859375,151.27999877929688,149.76809692382812,65463900
9,2021-11-08,151.41000366210938,151.57000732421875,150.16000366210938,150.44000244140625,148.93649291992188,55020900
10,2021-11-09,150.1999969482422,151.42999267578125,150.05999755859375,150.80999755859375,149.30279541015625,56787900
11,2021-11-10,150.02000427246094,150.1300048828125,147.85000610351562,147.9199981689453,146.44166564941406,65187100
12,2021-11-11,148.9600067138672,149.42999267578125,147.67999267578125,147.8699951171875,146.3921661376953,41000000
13,2021-11-12,148.42999267578125,150.39999389648438,147.47999572753906,149.99000549316406,148.49099731445312,63804000
14,2021-11-15,150.3699951171875,151.8800048828125,149.42999267578125,150.0,148.50088500976562,59222800
15,2021-11-16,149.94000244140625,151.49000549316406,149.33999633789062,151.0,149.49090576171875,59256200
16,2021-11-17,151.0,155.0,150.99000549316406,153.49000549316406,151.95599365234375,88807000
17,2021-11-18,153.7100067138672,158.6699981689453,153.0500030517578,157.8699951171875,156.29222106933594,137827700
18,2021-11-19,157.64999389648438,161.02000427246094,156.52999877929688,160.5500030517578,158.94546508789062,117305600
